id_entidad,estado,id_mpio,mpio_mty,id_localidad,localidad,id_ageb,folio_ageb,pop_total,viviendas_hab,pop_15_edu_incomp,pop_15_24_no_educ,pop_no_salud,pop_hacinamiento,viviendas_no_excusado,viviendas_piso_tierra,viviendas_no_agua,viviendas_no_drenaje,viviendas_no_ee,rezago_social
19,Nuevo León,39,Monterrey,1,MONTERREY,29,1.9039E+12,4172,1025,0.379,0.676,0.280,3.441,0.683,1.561,0.195,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,33,1.9039E+12,3783,1004,0.365,0.571,0.278,3.407,0.498,0.199,0.000,0.000,0.100,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,48,1.9039E+12,3177,739,0.398,0.698,0.310,6.250,0.541,1.759,0.000,0.000,0.135,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,52,1.9039E+12,4477,1080,0.411,0.672,0.309,4.762,0.926,1.574,0.000,0.000,0.093,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,67,1.9039E+12,3294,925,0.256,0.501,0.204,0.435,0.432,1.405,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,71,1.9039E+12,2683,769,0.220,0.423,0.164,0.130,0.390,0.780,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,103,1.9039E+12,2793,777,0.228,0.430,0.186,0.388,0.129,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,118,1.9039E+12,5468,1304,0.410,0.691,0.265,3.171,0.767,0.690,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,122,1.9039E+12,4599,1213,0.398,0.686,0.297,3.574,0.330,0.742,0.165,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,137,1.9039E+12,5167,1323,0.318,0.594,0.191,0.381,0.680,0.454,0.076,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,141,1.9039E+12,4170,1159,0.215,0.448,0.141,0.865,0.259,0.173,0.000,0.086,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,156,1.9039E+12,3506,918,0.235,0.484,0.190,0.328,0.327,0.218,0.109,0.109,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,160,1.9039E+12,1648,433,0.210,0.456,0.205,0.234,0.462,0.231,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,175,1.9039E+12,1459,426,0.245,0.405,0.224,0.000,0.469,0.000,0.235,0.235,0.235,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,194,1.9039E+12,3168,770,0.356,0.623,0.239,1.040,0.130,0.390,0.130,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,207,1.9039E+12,3399,773,0.423,0.785,0.303,3.622,0.129,1.035,0.259,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,226,1.9039E+12,5406,1182,0.434,0.714,0.260,8.426,0.931,3.469,0.677,0.169,0.085,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,245,1.9039E+12,3273,887,0.324,0.585,0.193,0.453,0.676,0.338,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,264,1.9039E+12,4536,1106,0.397,0.671,0.305,2.930,1.447,1.447,0.271,0.271,0.090,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,279,1.9039E+12,2357,643,0.237,0.444,0.186,0.314,0.311,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,283,1.9039E+12,3041,816,0.304,0.553,0.224,8.231,1.838,7.230,2.206,1.225,0.490,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,298,1.9039E+12,3794,941,0.275,0.554,0.248,2.348,0.638,1.169,0.213,0.000,0.106,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,315,1.9039E+12,4134,965,0.448,0.703,0.295,4.927,1.347,1.244,0.207,0.104,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,334,1.9039E+12,1430,340,0.354,0.625,0.277,4.217,1.765,0.588,0.588,0.294,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,349,1.9039E+12,3325,885,0.246,0.437,0.194,1.138,0.791,0.000,0.000,0.113,0.113,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,353,1.9039E+12,3583,1019,0.248,0.422,0.184,0.000,0.981,1.570,0.000,0.000,0.098,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,372,1.9039E+12,2859,801,0.118,0.408,0.169,0.126,0.999,1.623,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,391,1.9039E+12,4202,1026,0.461,0.635,0.274,4.374,4.386,1.559,0.975,0.585,0.097,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,404,1.9039E+12,3751,929,0.250,0.543,0.229,4.207,0.108,1.076,0.108,0.000,0.108,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,423,1.9039E+12,4492,1029,0.419,0.667,0.275,5.237,1.263,0.292,0.583,0.194,0.097,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,438,1.9039E+12,4210,848,0.430,0.748,0.293,6.946,2.358,0.943,0.825,1.061,0.354,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,442,1.9039E+12,3348,758,0.423,0.678,0.257,3.311,2.111,1.979,0.528,1.847,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,457,1.9039E+12,3976,1060,0.151,0.463,0.190,0.095,0.377,3.962,0.000,0.094,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,461,1.9039E+12,3742,1061,0.136,0.435,0.180,0.189,0.283,2.262,0.094,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,480,1.9039E+12,1548,456,0.236,0.442,0.184,0.439,0.000,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,495,1.9039E+12,1661,402,0.237,0.413,0.217,0.779,4.229,1.244,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,508,1.9039E+12,3110,871,0.339,0.465,0.238,0.695,0.689,1.033,0.230,0.115,0.115,Bajo
