ID,Clee,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
2959721,19039721113000171011000000U5,69 HOSPEDAJE,,721311,Pensiones y casas de huéspedes,6 a 10 personas,CALLE,MONA LISA,CALLE,TIPITAPA,CALLE,TINTO,CALLE,PAYSANDÚ,302,,,,,,COLONIA,BARRIO SAN LUIS,,,,64105,19,NUEVO LEÓN   ,039,Monterrey,0001,Monterrey,4411,018,,LUIS-LUNARMZ@HOTMAIL.COM,,Fijo,25.77686765,-100.3883872,2014-12
6367179,19019721111000116001025152S9,ADMINISTRADORA DE HOTELES GRT,ADMINISTRADORA DE HOTELES GRT SA DE CV,721111,Hoteles con otros servicios integrados,101 a 250 personas,AVENIDA,DIEGO RIVERA,AVENIDA,Batallón San Patricio,AVENIDA,Lázaro Cárdenas,AVENIDA,Doctor Atl,500,,,,,,COLONIA,VALLE ORIENTE,,,,66260,19,NUEVO LEÓN   ,019,San Pedro Garza García,0001,San Pedro Garza García,0399,041,,DOROZCO@HOTELESREALINN.COM,,Fijo,25.6493374,-100.3345277,2010-07
6787246,19019721111000155001025152S8,ADMINISTRADORA DE HOTELES GRT,ADMINISTRADORA DE HOTELES GRT SA DE CV,721111,Hoteles con otros servicios integrados,51 a 100 personas,AVENIDA,DIEGO RIVERA,AVENIDA,Lázaro Cárdenas,OTRO(ESPECIFIQUE),Otro,AVENIDA,Real San Agustín,2492,,,,,,COLONIA,VALLE ORIENTE,,,,66200,19,NUEVO LEÓN   ,019,San Pedro Garza García,0001,San Pedro Garza García,0399,023,,DOROZCO@CAMINOREAL.COM,,Fijo,25.65030672,-100.3344665,2017-03
6269512,19005721311000011000000000U4,ALOJAMIENTOS ECONOMICOS EL AZTECA,,721311,Pensiones y casas de huéspedes,0 a 5 personas,CALLE,CARRETERA A COLOMBIA,CARRETERA,DON MARTIN,CALLE,MESILLAS,CALLE,CAMPANERO,100,,,,,,COLONIA,CENTRO DE ANAHUAC,,,,65030,19,NUEVO LEÓN   ,005,Anáhuac,0001,Anáhuac,0406,036,8731005996,,,Fijo,27.23612427,-100.1359705,2010-07
6366868,19039721111000193002009086M3,ANTARIS SUIT CINTERMEX,ANTARI SUITE CINTERMEX SA DE CV,721111,Hoteles con otros servicios integrados,101 a 250 personas,AVENIDA,FUNDIDORA,CALLE,ADOLFO PRIETO,AVENIDA,ISAAC GARZA,CALLE,FRANCISCO MÁRQUEZ,500,,,,,,COLONIA,OBRERA,,,,64010,19,NUEVO LEÓN   ,039,Monterrey,0001,Monterrey,2716,064,,GGGALERIAS@HOTELANTARIS.COM,WWW.ANTARISSUITECINTERMEX.COM,Fijo,25.67736039,-100.2900154,2010-07
9303956,19039721111001011000000000U0,ANTIQUE   HOTEL   BOUTIQUE,VAMONOS SERVICIOS TURISTICOS SA DE CV,721111,Hoteles con otros servicios integrados,0 a 5 personas,CALLE,Padre Raymundo Jardón,CALLE,Doctor José María Cos,CALLE,Diego de Montemayor,CALLE,José Mariano Abasolo,0,SN,,,0,,COLONIA,BARRIO ANTIGUO,,,,64000,19,NUEVO LEÓN   ,039,Monterrey,0001,Monterrey,1756,005,83400059,,,Fijo,25.66504951,-100.3084155,2020-11
2953770,19021721113000053000000000U3,AUTO HOTEL NEVADA,,721113,Moteles,11 a 30 personas,CARRETERA,CARRETERA A COLOMBIA,CARRETERA,CARRETERA A COLOMBIA,AVENIDA,SENDERO NORTE,BOULEVARD,LICENCIADO JOSÉ LÓPEZ PORTILLO,,SN,,,,,RESIDENCIAL,PUEWRTA DEL NORETE,,,,66054,19,NUEVO LEÓN   ,021,General Escobedo,0001,Ciudad General Escobedo,0293,002,8183762983,,,Fijo,25.76837193,-100.2927123,2014-12
6775212,19038721111000033001000000U3,BEST WESTERN BAZARELL INN,BUGAMBILIAS INN SA DE CV,721111,Hoteles con otros servicios integrados,31 a 50 personas,AVENIDA,CAPITÁN ALONSO DE LEÓN,CARRETERA,99,OTRO (ESPECIFIQUE),99,CALLE,MANZANA 800,1,KM 206 950,,,0,,COLONIA,GIL DE LEYVA,,,,67560,19,NUEVO LEÓN   ,038,Montemorelos,0001,Montemorelos,0430,046,,GERENCIA@BAZARELLINN.COM,WWW.BAZARELLINN.COM,Fijo,25.18990265,-99.85572129,2017-03
6365396,19039721111000253001000000U5,BEST WESTERN PLUS,HOTELERA LAS HACIENDAS SA DE CV,721111,Hoteles con otros servicios integrados,11 a 30 personas,AVENIDA,CRISTÓBAL COLÓN,CALLE,MARTÍN DE ZAVALA,CALLE,AMÉRICA,CALLE,REFORMA,1768,,,,0,,COLONIA,CENTRO,,,,64000,19,NUEVO LEÓN   ,039,Monterrey,0001,Monterrey,1205,008,,SALVADOR@HOTELESEXPRESSMTY.COM,,Fijo,25.68716576,-100.3285363,2010-07
3055190,19049713930000032000000000U5,BOCA MARINA,,721190,"Cabañas, villas y similares",0 a 5 personas,CALLE,CARRETERA NACIONAL,PRIVADA,NINGUNO,CALLE,PUNTA LA BOCA,CALLE,SIN REFERENCIA,,SN,,,,,FRACCIONAMIENTO,PUNTA LA BOCA,,,,67300,19,NUEVO LEÓN   ,049,Santiago,0001,Santiago,0307,001,8117495438,,,Fijo,25.4376894,-100.1530621,2010-07
8689250,19039721190000053000000000U3,BOSQUES DE MONTERREAL,GRUPO INMOBILIARIO REAL DEL BOSQUE SA DE CV,721190,"Cabañas, villas y similares",11 a 30 personas,BOULEVARD,ANTONIO L. RODRIGUEZ,AVENIDA,GONZALITOS,CALLE,NINGUNO,AVENIDA,SAN JERÓNIMO,,SN,,,840,PTE,COLONIA,SAN JERONIMO,,,,64660,19,NUEVO LEÓN   ,039,Monterrey,0001,Monterrey,2769,025,,,,Fijo,25.67441377,-100.3603559,2019-11
6420906,19006721311000011000000000U2,CASA DE HUÉSPEDES,,721311,Pensiones y casas de huéspedes,0 a 5 personas,CALLE,CALLE DE LAS ARBOLEDAS,CALLE,CALLE DEL HUIZACHE,CALLE,CALLE DEL AVELLANO,CALLE,CALLE DEL ALMENDRO,600,,,,,,FRACCIONAMIENTO,LOS FRESNOS,,,,66636,19,NUEVO LEÓN   ,006,Apodaca,0001,Ciudad Apodaca,1350,013,,,,Fijo,25.7661482,-100.2529027,2010-07
6365468,19009721311000011000000000U6,CASA DE HUÉSPEDES LUPITA,,721311,Pensiones y casas de huéspedes,0 a 5 personas,CALLE,MODESTO ARREOLA,CALLE,PIPILA,CALLE,IGNACIO COMONFORT,AVENIDA,MONTERREY-REYNOSA,114,,,,,,COLONIA,LAZARO CARDENAS 1ER SECT,,,,67484,19,NUEVO LEÓN   ,009,Cadereyta Jiménez,0001,Cadereyta Jiménez,0392,001,,,,Fijo,25.60184475,-99.97979253,2010-07
9310038,19048721311000011000000000U4,CASA RAUL,CASA RAUL ,721311,Pensiones y casas de huéspedes,0 a 5 personas,BOULEVARD,GUSTAVO DIAZ ORDAZ,AVENIDA,PRIMERO DE MAYO,AVENIDA,CUAUHTEMOC,CALLE,VÍA A MÉXICO,,SN,,,,,COLONIA,TRABAJADORES,,,,66149,19,NUEVO LEÓN   ,048,Santa Catarina,0001,Ciudad Santa Catarina,0225,031,,,,Fijo,25.67460991,-100.4288818,2020-11
9294879,19019721112000031000000000U5,CASA UMAMI,CASA UMAMI ,721112,Hoteles sin otros servicios integrados,0 a 5 personas,CALLE,RIO ORINOCO,CALLE,RIO MOCTEZUMA,CALLE,RIO ROSAS,CALLE,RÍO COLORADO,344,,,,,,COLONIA,COL DEL VALLE,,,,66220,19,NUEVO LEÓN   ,019,San Pedro Garza García,0001,San Pedro Garza García,0083,002,,,,Fijo,25.65825134,-100.3599196,2020-11
9315005,19026721311000021000000000U9,CASARES DENTI,CASARES DENTI ,721311,Pensiones y casas de huéspedes,0 a 5 personas,AVENIDA,ADOLFO LOPEZ MATEOS,CALLE,TAJIN,CALLE,ATLIXCO,CALLE,MONTE ALBÁN,,SN,,,,,COLONIA,LA JOYA,,,,67160,19,NUEVO LEÓN   ,026,Guadalupe,0001,Guadalupe,1391,021,,,,Fijo,25.68251484,-100.2141205,2020-11
6367562,19039721112000922000000000U3,CHN HOTELES,OPERADORA PACAAR SA DE CV,721112,Hoteles sin otros servicios integrados,6 a 10 personas,CALLE,ZACATEPEC,CALLE,CUAUTLA,CALLE,VALLE CORTES,CALLE,AMECAMECA,100,,,,,,COLONIA,VALLE MORELOS,,,,64180,19,NUEVO LEÓN   ,039,Monterrey,0001,Monterrey,0512,024,,GERENCIA.HSF@SHOTELES.COM,,Fijo,25.72376782,-100.3432266,2014-12
6719984,19006721111000084002018257S3,CITY EXPRESS MONTERREY AEROPUERTO,IMPULSORA PLAZA JUAREZ SA DE CV,721111,Hoteles con otros servicios integrados,101 a 250 personas,CARRETERA,CARRETERA AL AEROPUERTO,AVENIDA,Boulevard Interamerican,AVENIDA,Boulevard Millenium,CALLE,Ninguno,5028,,,,,,COLONIA,PARQUE INDUSTRIAL MILLENIUM,,,,66600,19,NUEVO LEÓN   ,006,Apodaca,0001,Ciudad Apodaca,3037,004,,NGONZALEZ@HOTELESCITY.COM,WWW.HOTELCITY.COM,Fijo,25.78554597,-100.134229,2016-01
6869189,19006721111000117001018257S1,CITY EXPRESS MONTERREY APTO,PROMOTORA PLAZA SOL SA DE CV,721111,Hoteles con otros servicios integrados,11 a 30 personas,BOULEVARD,BOULEVARD MILLENIUM,CARRETERA,APODACA DR GONZALEZ,,MONTERREY,BOULEVARD,TLC,5028,,,,0,,FRACCIONAMIENTO,PARQUE INDUSTRIAL MILENIUM,,,,66600,19,NUEVO LEÓN   ,006,Apodaca,0001,Ciudad Apodaca,3037,004,,CEMTA.CONTADOR@CITYEXPRESS.COM.MX,WWW.CITYEXPRESS.COM.MX,Fijo,25.78514621,-100.1339978,2019-04
6367349,19048721111000013001018257S4,CITY EXPRESS MONTERREY SANTA CATARINA,IMPULSORA PLAZA JUAREZ SA DE CV,721111,Hoteles con otros servicios integrados,101 a 250 personas,CARRETERA,MONTERREY-SALTILLO,CALLE,Sierra San Miguel,CALLE,Valencia,CALLE,Ninguno,1135,,,,,,COLONIA,PUERTA DE LAS MITRAS,,,,66370,19,NUEVO LEÓN   ,048,Santa Catarina,0001,Ciudad Santa Catarina,112A,033,,NGONZALEZ@HOTELESCITY.COM,WWW.HOTELESCITYEXPRESS.COM,Fijo,25.68760887,-100.4951937,2010-07
9466247,19039721111001213000056091S8,CITY EXPRESS MONTERREY UNIVERSIDAD,IMPULSORA PLAZA TIJUANA SA DE CV,721111,Hoteles con otros servicios integrados,11 a 30 personas,AVENIDA,ALFONSO REYES,AVENIDA,Don Luis G. Sada,CALLE,Martín Carrera,CALLE,Taxco,550,,,,,,COLONIA,REGINA,,,,64290,19,NUEVO LEÓN   ,039,Monterrey,0001,Monterrey,0781,006,,,,Fijo,25.70833502,-100.3140393,2023-11
6813988,19039721111000703000018257S9,CITY EXPRESS PLUS MONTERREY SAN JERONIMO,IMPULSORA PLAZA JUAREZ SA DE CV,721111,Hoteles con otros servicios integrados,11 a 30 personas,AVENIDA,SAN JERÓNIMO,CALLE,Doctor Jesús María González,PRIVADA,Ninguno,CALLE,V,311,,,,,,COLONIA,SAN JERONIMO,,,,64640,19,NUEVO LEÓN   ,039,Monterrey,0001,Monterrey,1629,004,,NGONZALEZ@HOTELESCITY.COM,WWW.HOTELESCITYEXPRESS.COM,Fijo,25.67411981,-100.3557607,2017-11
6368322,19046721111000075000000000U7,COMFORT INN MONTERREY NORTE,OPERADORA TURISTICA SAN NICOLAS SA DE CV,721111,Hoteles con otros servicios integrados,51 a 100 personas,AVENIDA,LICENCIADO ADOLFO LÓPEZ MATEOS,AVENIDA,PEÑA GUERRA,CALLE,NINGUNO,CALLE,ANTIGUO CAMINO A APODACA,251,,,,0,,COLONIA,CONSTITUYENTES DE QUERÉTARO PRIMER SECTOR,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1248,030,,INFO@COMFORTINNMONTERREYNORTE.COM,,Fijo,25.72576405,-100.2585206,2010-07
8901516,19039721112001301000037918M9,COMPAÑIA MEXICANA DE HOSPEDAJE TRANSPORTE Y SERVICIOS AL PERSONAL,COMPAÑIA MEXICANA DE HOSPEDAJE TRANSPORTE Y SERVICIOS AL PERSONAL S DE RL DE CV,721112,Hoteles sin otros servicios integrados,0 a 5 personas,AVENIDA,REVOLUCION,CALLE,ANDALUCIA,CALLE,VASCONGADAS,CALLE,EXTREMADURA,3800,,,,,,COLONIA,TORREMOLINOS,,,,64850,19,NUEVO LEÓN   ,039,Monterrey,0001,Monterrey,2203,004,,NHMA@MEXICANADEHOSPEDAJE.COM,,Fijo,25.63766919,-100.2737867,2019-11
